word,entropy
raise,5.878303
slate,5.855819
crate,5.835216
irate,5.832799
trace,5.830429
arise,5.821023
stare,5.806889
snare,5.768678
arose,5.767805
least,5.751562
alert,5.744211
crane,5.741011
stale,5.738264
saner,5.733999
alter,5.713372
later,5.707287
react,5.696507
trade,5.683921
leant,5.683771
learn,5.652071
roast,5.648431
cater,5.648078
aisle,5.635642
trice,5.634291
parse,5.630156
scare,5.628409
saute,5.622136
heart,5.612256
alone,5.611282
store,5.610714
alien,5.607061
share,5.605483
grate,5.604721
trail,5.593027
siren,5.583846
snore,5.577480
caste,5.571255
scale,5.563911
atone,5.557454
dealt,5.556164
train,5.552930
renal,5.552879
plate,5.549895
spare,5.549571
clear,5.547451
rinse,5.546185
trial,5.538017
solar,5.536945
teary,5.535467
shale,5.534501
glare,5.530269
pearl,5.526194
stole,5.520215
lance,5.517859
stair,5.517321
sonar,5.516082
canoe,5.514716
tenor,5.512274
crone,5.511593
slice,5.511095
taper,5.510731
saint,5.509539
route,5.500778
slant,5.492894
tread,5.492115
cleat,5.489423
hater,5.486107
blare,5.486044
tried,5.481493
steal,5.480911
rouse,5.473861
plane,5.469477
paler,5.465494
loser,5.465313
suite,5.461338
tripe,5.460259
crest,5.460208
shear,5.455431
great,5.452073
sauce,5.450700
shire,5.446800
large,5.444681
tamer,5.443270
stone,5.437915
noise,5.437554
adore,5.434851
lapse,5.430418
score,5.430138
trope,5.429283
close,5.427638
table,5.424745
paste,5.423385
horse,5.422080
shore,5.420950
truce,5.417394
leapt,5.417108
earth,5.415428
grace,5.414855
risen,5.414604
cause,5.410047
aider,5.401912
liner,5.401810
drone,5.398304
haste,5.397508
lathe,5.396171
carol,5.390655
prose,5.389757
yeast,5.388287
brace,5.388203
coast,5.385023
clone,5.382912
snarl,5.382805
slain,5.382028
spear,5.381130
place,5.379100
prone,5.374788
flare,5.373355
beast,5.372571
realm,5.372179
spire,5.371720
satin,5.367210
cadet,5.366649
pleat,5.366594
range,5.366516
cairn,5.366075
panel,5.365459
meant,5.364454
layer,5.361033
plier,5.359926
leash,5.359286
drape,5.357989
stern,5.357984
louse,5.356283
urine,5.353590
yearn,5.352975
ratio,5.351355
coral,5.349398
tonal,5.348307
slide,5.347686
snort,5.347268
tribe,5.343810
resin,5.342353
arson,5.341245
since,5.340503
inert,5.339379
clean,5.339066
spore,5.338415
lager,5.336684
talon,5.335676
snail,5.335183
curse,5.335018
cedar,5.334609
triad,5.333486
baler,5.332517
salon,5.332514
caper,5.330958
their,5.329056
stage,5.326713
petal,5.324753
enact,5.323893
inlet,5.322781
cruel,5.318054
early,5.317581
trash,5.317500
price,5.317383
smear,5.316397
nurse,5.314949
laden,5.314855
poise,5.314726
merit,5.310416
islet,5.305513
inter,5.305468
tease,5.304916
baste,5.304691
relay,5.304386
spite,5.301199
space,5.298102
ramen,5.297077
onset,5.296696
heist,5.296132
reach,5.292868
those,5.292456
dance,5.292143
safer,5.292102
cried,5.291803
tapir,5.290560
erase,5.290078
slope,5.289572
sedan,5.285652
pause,5.284753
feast,5.284334
outer,5.283972
chase,5.283210
peril,5.279774
haute,5.278799
stein,5.278120
utile,5.278016
stain,5.276000
tilde,5.275795
slime,5.274970
grade,5.274357
shine,5.272087
spiel,5.270483
shalt,5.270149
agile,5.268850
false,5.268453
hotel,5.266942
chore,5.260915
regal,5.260572
trend,5.260065
eclat,5.259340
water,5.258735
penal,5.258590
farce,5.258262
poser,5.257490
shone,5.257052
brine,5.254980
teach,5.254432
anode,5.253773
plait,5.253212
heard,5.252433
scone,5.252031
cable,5.251872
timer,5.250122
borne,5.249578
afire,5.248637
lease,5.247558
taker,5.247528
grape,5.247310
droit,5.246960
drain,5.246618
satyr,5.246280
metal,5.244663
smart,5.243259
grant,5.242673
tiger,5.241763
write,5.241178
acute,5.236593
delta,5.235866
polar,5.235743
diner,5.234164
bleat,5.232640
smile,5.230828
skate,5.229919
smite,5.229032
forte,5.227466
crime,5.227406
wrote,5.219826
elate,5.219128
artsy,5.218203
actor,5.216654
argue,5.216576
remit,5.215449
terse,5.214255
camel,5.213509
scant,5.211769
cutie,5.210755
sober,5.209852
shade,5.207999
slept,5.203282
motel,5.202262
grail,5.200498
chart,5.200347
purse,5.198383
stead,5.197394
spine,5.192207
aside,5.191857
phase,5.191584
cream,5.191287
feral,5.190563
anger,5.189321
smote,5.189315
snide,5.189179
paint,5.185386
shape,5.185134
short,5.183384
nicer,5.182719
plant,5.181170
cheat,5.180961
angle,5.180825
anime,5.178222
alike,5.177814
snipe,5.177014
older,5.176441
leach,5.176161
worse,5.175021
loath,5.174982
lithe,5.174632
waste,5.173990
court,5.171908
spelt,5.171691
shirt,5.171477
miser,5.170525
heron,5.170368
prune,5.168966
swear,5.168457
rainy,5.167821
unite,5.167526
payer,5.167078
pride,5.165283
eater,5.165087
goner,5.164989
crept,5.164582
pried,5.164418
ripen,5.164363
crave,5.163205
relic,5.163128
salty,5.161052
stake,5.159315
death,5.158971
molar,5.156727
glade,5.155880
cider,5.155727
acorn,5.155276
scent,5.153527
stray,5.153169
sepia,5.152826
valet,5.152504
salve,5.150131
brute,5.149159
recut,5.148318
spade,5.146445
lunar,5.144713
beard,5.143826
sleet,5.143216
after,5.142562
boast,5.140526
ready,5.140168
gloat,5.139479
angel,5.137115
chair,5.136667
drake,5.135207
shame,5.134955
swore,5.133159
snake,5.133075
harem,5.132143
carve,5.130888
metro,5.130042
shoal,5.129407
moral,5.128006
recap,5.127658
surge,5.127283
miner,5.126620
print,5.125448
horde,5.124683
grain,5.124147
style,5.122671
royal,5.121777
super,5.121019
blast,5.120062
spice,5.119856
sport,5.117632
unset,5.116422
trove,5.114740
barge,5.114311
blade,5.113406
manor,5.113364
nadir,5.111663
decal,5.110898
glean,5.110895
crust,5.109629
wrest,5.106447
flier,5.105467
cease,5.104938
smelt,5.104821
email,5.104034
maple,5.103992
untie,5.103259
strap,5.101305
groan,5.101197
treat,5.099879
house,5.099505
crash,5.099439
comet,5.099184
reset,5.099084
copse,5.097198
singe,5.096639
bloat,5.095590
rouge,5.095328
roach,5.094484
gruel,5.094376
brain,5.094138
sweat,5.093927
rifle,5.092986
abort,5.092672
steam,5.091718
filet,5.091642
fetal,5.091132
reign,5.089871
agent,5.087045
taken,5.085715
avert,5.085679
rayon,5.085477
crude,5.085411
chose,5.084857
splat,5.084755
spent,5.084719
tidal,5.082976
pulse,5.082213
ulcer,5.081959
prime,5.081368
gayer,5.079610
tower,5.077443
hoist,5.077248
facet,5.075192
opera,5.075133
sower,5.074520
torus,5.073220
skier,5.072251
labor,5.071936
plain,5.071417
staid,5.070872
guile,5.070078
giant,5.069270
trite,5.069027
debar,5.068742
cameo,5.068125
dream,5.067972
alive,5.066754
serif,5.064646
ultra,5.064607
stave,5.064440
frame,5.062014
refit,5.059878
olden,5.058773
force,5.058197
idler,5.057742
decor,5.056893
rogue,5.055967
credo,5.055226
radio,5.054419
erupt,5.052472
frail,5.050895
bread,5.049981
adorn,5.049962
plied,5.048917
baron,5.048518
bathe,5.048500
pedal,5.048469
repay,5.048438
amuse,5.048229
thorn,5.047635
other,5.047599
gripe,5.046980
flair,5.046368
raven,5.043240
sloth,5.040517
hoard,5.038622
pecan,5.036706
gamer,5.036513
bride,5.036393
elite,5.036028
shied,5.033982
ocean,5.033649
mealy,5.031668
stand,5.031583
mouse,5.030692
eaten,5.030343
filer,5.030305
craft,5.030106
easel,5.029692
dirge,5.029339
trawl,5.028676
rivet,5.028149
boule,5.027443
apron,5.027406
retch,5.026646
grope,5.026425
moist,5.025482
snout,5.024989
dairy,5.024380
tuber,5.024327
latte,5.022903
towel,5.021677
matey,5.020343
story,5.020038
opine,5.019594
creak,5.019343
blame,5.019035
point,5.018935
ideal,5.017782
shorn,5.017398
spilt,5.017126
guise,5.016455
chant,5.016103
scorn,5.016076
plead,5.015535
meaty,5.015237
ashen,5.013026
waist,5.012560
noble,5.012318
delay,5.011761
ounce,5.010797
pesto,5.010491
state,5.009212
steer,5.007728
tense,5.007705
diary,5.005589
bluer,5.004524
party,5.004063
tardy,5.000345
terra,5.000048
ankle,4.998007
clout,4.997731
solid,4.997202
grime,4.995226
pilot,4.994284
taste,4.993831
brake,4.992553
shard,4.992198
daunt,4.991136
scary,4.990889
probe,4.990473
broil,4.986344
twine,4.985795
ascot,4.985136
sugar,4.984285
swine,4.983964
serum,4.983713
hairy,4.983165
wiser,4.981851
scope,4.981643
cigar,4.980379
clash,4.977191
float,4.977066
reuse,4.976953
nosey,4.976311
trait,4.975379
weary,4.975199
finer,4.975129
naive,4.974876
whale,4.974501
posit,4.974150
choir,4.973243
voter,4.972920
abuse,4.972121
ranch,4.971272
savor,4.969629
frost,4.967325
medal,4.966702
patio,4.966420
faint,4.965914
sneer,4.965676
octal,4.964970
intro,4.964774
organ,4.962104
lower,4.961898
count,4.961058
chest,4.960811
ovate,4.960758
north,4.960734
solve,4.960155
shake,4.959686
phone,4.959278
slang,4.957642
torch,4.956886
prude,4.956521
orbit,4.956159
spied,4.955775
scree,4.955510
haunt,4.954336
clued,4.953925
ridge,4.953315
rebut,4.953132
clasp,4.951830
ample,4.951237
scour,4.949815
strip,4.949302
entry,4.947715
melon,4.947480
wrist,4.947396
steel,4.947334
three,4.945810
cargo,4.945547
glide,4.944600
split,4.942431
groin,4.942168
bagel,4.942019
crony,4.940477
worst,4.939588
stark,4.938298
craze,4.938293
irony,4.937719
stoke,4.937692
front,4.937661
steak,4.935593
piano,4.935243
mince,4.935197
grout,4.933895
board,4.933732
peach,4.933111
sharp,4.932420
homer,4.932218
spoil,4.931935
guest,4.930409
grave,4.928092
tarot,4.927904
first,4.927573
